claim_id,claim_date,claim_amount,policy_id
234,2022-07-02,7169,3529
235,2022-11-26,9238,6188
236,2023-02-28,9889,5666
237,2022-10-08,6083,302
238,2021-07-08,1568,3180
239,2022-11-27,7228,8587
240,2023-03-13,6232,4254
241,2021-11-25,1001,3531
242,2021-07-08,6196,2677
243,2022-08-01,6676,1250
244,2022-12-02,4342,2039
245,2021-08-02,7984,7787
246,2022-12-01,3004,2783
247,2022-08-30,5928,7186
248,2022-08-20,6981,619
249,2022-11-15,6428,4739
250,2021-12-06,9082,5800
251,2022-03-22,3067,154
252,2021-08-19,317,7808
253,2023-03-18,6871,1047
254,2023-01-16,5955,8133
255,2021-10-28,5180,6273
256,2023-02-21,8412,6622
257,2022-08-29,3325,5502
258,2022-09-28,9397,8094
259,2022-03-14,1260,4480
260,2021-05-03,2040,7780
261,2021-04-21,7911,96
262,2021-10-28,9605,96
263,2021-10-26,1315,7994
264,2022-02-18,362,3393
265,2021-04-23,3378,1629
266,2022-08-28,143,5905
267,2022-07-23,4556,6586
268,2022-01-09,5851,5048
269,2022-09-01,5662,2136
270,2023-02-27,9712,399
271,2021-07-08,6714,2012
272,2021-08-19,8125,8881
273,2021-05-27,9024,3098
274,2022-09-09,1152,2106
275,2022-11-26,8771,367
276,2022-10-13,7523,6294
277,2022-08-26,2871,7970
278,2023-01-12,6399,6303
279,2023-03-09,8460,988
280,2022-01-04,3799,7831
281,2022-09-12,8130,333
282,2022-12-11,4802,4140
283,2021-10-26,7890,7696
284,2021-11-27,1428,2406
285,2021-06-02,1113,8899
286,2021-12-08,5402,6373
287,2021-04-30,173,4849
288,2023-01-03,5480,3520
289,2022-09-11,9848,6127
290,2022-08-26,9780,2798
291,2022-12-31,280,8141
292,2021-04-12,2101,8386
293,2021-08-02,2841,3266
294,2021-09-14,1116,799
295,2021-08-28,9326,2791
296,2021-04-01,4402,2660
297,2021-11-17,7008,5289
298,2022-10-29,333,7388
299,2022-09-13,8567,3433
300,2021-09-18,1531,818
301,2021-05-11,3543,1213
302,2022-11-10,8081,3789
303,2021-10-17,7657,5003
304,2022-12-07,4494,735
305,2023-01-20,4397,4315
306,2022-08-02,9860,5785
307,2023-02-23,9971,2160
308,2021-07-28,110,1601
309,2021-08-06,7960,1148
310,2022-05-04,3149,2863
311,2021-11-15,7553,1370
312,2022-07-19,1548,7835
313,2021-06-26,4845,1866
314,2022-01-31,5286,3441
315,2022-08-27,577,6060
316,2022-05-22,6835,8177
317,2021-07-27,6649,7026
318,2021-06-09,7326,5488
319,2022-10-08,6952,1808
320,2022-03-12,3057,3180
321,2022-11-19,9095,5540
322,2021-12-18,5043,8437
323,2021-09-27,4551,2401
324,2022-11-25,5240,6198
325,2022-12-30,54,4414
326,2022-06-28,7557,7916
327,2023-02-01,2902,3432
328,2022-11-03,639,8448
329,2021-12-31,6762,2518
330,2022-04-25,9576,7275
331,2021-12-01,8664,1446
332,2023-03-03,3105,3042
333,2022-11-23,2364,760
334,2021-06-24,6010,8172
335,2022-11-21,7502,8448
336,2022-12-21,643,4815
337,2021-07-29,3196,6720
338,2022-02-14,5098,44
339,2021-04-07,4716,2110
340,2021-12-25,6298,5507
341,2021-08-01,2000,2893
342,2023-01-20,7158,8546
343,2023-03-07,8523,5701
344,2021-08-05,3980,7885
345,2022-02-08,6475,992
346,2023-01-08,491,739
347,2022-03-12,8201,2359
348,2022-10-14,202,1441
349,2022-06-08,9360,7775
350,2023-02-27,5435,3677
351,2022-12-16,7021,7616
352,2023-01-29,8251,5018
353,2022-04-13,1863,2987
354,2022-09-29,6427,6761
355,2021-08-16,3108,8907
356,2023-02-06,2988,4057
357,2022-04-02,83,6499
358,2022-11-02,1355,2613
359,2022-04-02,7219,4537
360,2022-10-02,2635,7086
361,2021-05-26,356,820
362,2021-05-24,9347,835
363,2023-01-31,7727,6078
364,2022-04-27,9591,7583
365,2023-03-08,291,7139
366,2021-11-10,4103,1388
367,2022-06-23,5732,3715
368,2022-01-24,8220,6125
369,2023-01-29,1389,173
370,2022-03-26,1978,5758
371,2021-08-12,1975,4091
372,2021-09-07,6925,1176
373,2021-09-08,7788,5070
374,2021-10-11,4839,6922
375,2021-06-02,5621,7434
376,2021-03-26,8550,3157
377,2023-03-19,3757,8355
378,2021-08-01,7913,2284
379,2022-01-27,6225,1187
380,2021-09-02,1672,6379
381,2021-12-06,2752,2995
382,2021-05-12,4953,2244
383,2022-07-20,2598,3832
384,2022-11-15,3409,682
385,2021-05-22,1515,6421
386,2022-12-07,9233,7598
387,2021-06-14,5949,5572
388,2022-01-01,3052,4090
389,2021-05-03,7074,7798
390,2023-03-08,5044,8922
391,2023-02-17,2378,1214
392,2021-05-01,5876,7833
393,2023-02-02,3627,1943
394,2021-10-31,7063,1073
395,2023-01-09,6053,6403
396,2022-09-09,3665,1043
397,2021-09-16,1783,116
398,2023-01-21,265,3533
399,2021-12-09,9534,6644
400,2022-08-21,9920,5502
401,2021-10-16,1072,2278
402,2022-01-15,1372,4649
403,2021-08-22,9350,6018
404,2022-06-06,2072,6260
405,2021-11-27,6983,4669
406,2022-05-27,5186,76
407,2023-01-26,5512,4315
408,2021-05-06,9880,8084
409,2021-08-07,4200,6004
410,2022-01-26,7563,3440
411,2022-08-02,6223,467
412,2022-01-21,9831,3598
413,2021-05-06,4533,3755
414,2022-08-03,8264,658
415,2021-10-07,6483,3960
416,2021-08-02,5642,4219
417,2022-01-20,4051,2301
418,2021-11-25,9901,4216
419,2021-07-27,2810,2908
420,2022-05-24,8603,5118
421,2021-04-29,5522,7860
422,2022-03-14,3278,7607
423,2021-04-25,6334,6596
424,2022-02-14,651,4783
425,2022-01-15,964,2879
426,2022-02-15,8488,1443
427,2022-01-11,2691,1200
428,2022-01-14,9808,5513
429,2022-12-24,4567,5242
430,2021-07-29,3899,2885
431,2021-07-09,9249,79
432,2021-05-02,9371,5105
433,2022-06-30,2103,4582
434,2021-05-01,6491,3146
435,2022-03-24,4171,294
436,2023-03-05,5171,259
437,2021-07-04,5685,7937
438,2022-06-21,4845,5845
439,2022-01-03,3375,2813
440,2022-11-21,9798,587
441,2021-11-20,566,5292
442,2022-11-01,6169,3915
443,2022-03-05,354,5635
444,2022-05-18,1357,6796
445,2022-12-21,3461,246
446,2021-05-23,8041,1130
447,2022-11-03,4517,4867
448,2021-05-12,6567,7874
449,2022-07-25,2804,6159
450,2022-07-19,9104,4248
451,2022-02-21,2907,2071
452,2021-12-08,4021,136
453,2021-03-27,6126,2491
454,2021-08-19,442,6066
455,2023-03-01,2491,2779
456,2021-05-30,9961,6472
457,2022-07-10,2919,3387
458,2022-05-23,6824,4370
459,2022-02-06,1465,5209
460,2022-06-16,9909,4045
461,2021-07-13,701,6443
462,2021-12-28,5668,8806
463,2022-01-10,214,7936
464,2021-08-15,2261,4539
465,2022-10-02,2215,4371
466,2021-04-27,2389,7495
467,2023-03-18,1256,6699
468,2021-11-03,6081,8604
469,2022-12-25,1627,4394
470,2023-03-08,5101,8094
471,2021-10-17,8537,4887
472,2022-09-30,8750,3377
473,2021-05-21,2292,3616
474,2021-07-06,5942,8282
475,2022-08-20,489,1321
476,2021-06-19,6584,2145
477,2022-04-16,5310,4901
478,2021-05-21,3817,169
479,2021-08-03,674,7083
480,2022-09-13,3100,8621
481,2022-02-01,5007,5340
482,2021-07-14,5241,2769
483,2022-05-05,1946,8915
484,2021-11-24,385,7660
485,2022-02-16,2909,6246
486,2021-03-22,2932,6334
487,2021-07-28,5102,8889
488,2022-02-28,7703,3998
489,2022-01-24,3730,8381
490,2021-05-09,6587,1958
491,2021-03-21,9639,5020
492,2021-03-26,8946,8329
493,2022-12-10,2310,1948
494,2021-04-19,1547,7238
495,2021-09-19,5917,8215
496,2022-09-05,8598,3954
497,2021-08-06,3005,4828
498,2022-09-03,1768,7516
499,2021-04-22,6240,6486
500,2021-05-11,5175,4186
501,2021-08-21,7402,1766
502,2022-06-13,1335,7949
503,2022-05-14,7047,8235
504,2021-05-02,1304,7254
505,2021-12-26,2323,8626
506,2022-11-20,2373,8512
507,2022-06-08,4415,745
508,2022-10-08,6577,3000
509,2021-12-16,7222,1687
510,2022-02-22,7568,146
511,2022-09-18,7832,3779
512,2022-09-12,9200,2953
513,2022-08-31,8029,4913
514,2022-03-11,9027,7466
515,2021-08-22,8617,2015
516,2021-12-19,9711,73
517,2022-04-13,3000,6930
518,2022-03-31,190,5168
519,2022-12-08,2422,8397
520,2022-07-24,1651,1452
521,2022-01-29,5472,6540
522,2022-10-15,8404,6266
523,2021-09-11,3558,2846
524,2022-03-17,6441,2472
525,2022-06-14,2219,8601
526,2023-02-21,8939,3535
527,2021-04-08,5492,6097
528,2022-03-29,8869,4715
529,2021-11-18,8579,4052
530,2022-05-13,3826,8461
531,2022-03-26,9120,7804
532,2021-07-07,2500,5861
533,2021-08-29,348,5731
534,2023-01-28,8641,5935
535,2022-04-02,5805,6094
536,2023-01-26,6962,8699
537,2022-12-03,5384,2587
538,2021-06-19,6759,6819
539,2022-06-28,1671,8530
540,2022-03-07,4020,8641
541,2022-08-31,7585,709
542,2022-04-07,973,6321
543,2021-10-27,5977,5342
544,2022-01-23,2055,5570
545,2022-01-24,3227,6729
546,2021-11-18,9891,2455
547,2022-04-16,2495,3720
548,2021-12-31,7408,2891
549,2022-04-26,8213,4844
550,2022-09-10,5388,1313
551,2021-09-24,1881,2552
552,2022-11-23,3656,6210
553,2021-10-21,6458,8930
554,2022-09-08,6508,611
555,2021-06-17,8229,3259
556,2021-11-11,7976,3963
557,2021-10-31,9051,5478
558,2022-12-06,3320,3345
559,2021-04-13,9425,6846
560,2021-07-06,9187,7663
561,2021-04-13,2285,4119
562,2021-12-07,9523,4154
563,2021-03-31,5547,1781
564,2021-04-30,8919,6515
565,2022-04-07,6897,498
566,2022-04-19,8262,2195
567,2021-10-02,2238,7312
568,2022-12-05,6959,6745
569,2022-03-28,5679,6058
570,2021-09-04,1233,6574
571,2023-02-20,9544,5389
572,2021-05-25,9776,1183
573,2022-01-23,3094,7401
574,2021-05-27,2841,1857
575,2021-10-13,3375,8717
576,2022-10-23,3756,3227
577,2021-07-02,9841,8543
578,2022-12-03,1600,6511
579,2022-05-07,2759,5580
580,2021-06-19,4433,982
581,2023-01-13,856,3230
582,2022-04-16,8027,7779
583,2022-07-16,2427,3446
584,2023-02-14,7851,3713
585,2021-11-22,4209,7411
586,2023-02-17,7565,3388
587,2021-12-03,6508,4679
588,2021-04-29,9481,1887
589,2021-10-20,3633,3486
590,2022-11-20,8586,7784
591,2023-03-04,1089,215
592,2023-02-08,1179,1079
593,2021-08-12,1457,2139
594,2022-01-08,1034,615
595,2022-12-19,7568,6200
596,2021-09-07,4338,1713
597,2022-08-16,9954,3512
598,2021-11-10,4731,764
599,2022-05-28,1949,5511
600,2021-05-05,4646,3483
601,2022-08-05,4443,5514
602,2022-08-31,5110,5328
603,2021-03-28,4959,181
604,2021-12-17,1203,543
605,2022-02-21,4776,7423
606,2021-03-30,5969,8716
607,2023-03-04,8816,493
608,2023-02-20,9811,7625
609,2021-05-07,6316,906
610,2021-06-07,3218,8707
611,2021-08-23,6636,5585
612,2021-10-07,113,6254
613,2023-02-12,4863,2005
614,2022-03-21,5912,784
615,2022-06-25,7968,7935
616,2021-09-07,2113,19
617,2022-02-09,3021,8105
618,2021-07-09,6953,2258
619,2022-02-17,6915,4615
620,2021-04-22,603,4340
621,2021-05-18,8197,4573
622,2023-02-20,361,5611
623,2022-03-23,6443,5804
624,2022-06-07,147,7361
625,2022-12-11,9453,8918
626,2022-10-24,1830,7809
627,2021-07-03,1118,3800
628,2021-12-31,736,8013
629,2021-07-05,7937,1475
630,2022-02-05,5668,5064
631,2022-10-18,6129,5875
632,2021-09-02,6230,6649
633,2022-05-30,861,3014
634,2022-09-13,4399,3992
635,2022-03-30,1785,5249
636,2021-11-02,7753,4673
637,2022-01-19,2716,7349
638,2021-12-13,5708,3457
639,2021-05-22,4626,418
640,2022-07-29,1675,4722
641,2022-12-30,6325,7896
642,2023-01-31,8686,94
643,2022-08-27,4147,8172
644,2021-04-02,9628,992
645,2021-05-30,3399,6300
646,2022-02-06,1946,599
647,2021-11-27,6363,7546
648,2022-03-26,2752,190
649,2023-02-10,9579,1370
650,2022-11-29,6978,657
651,2023-02-01,556,3392
652,2022-09-15,9954,4875
653,2021-10-27,2066,7335
654,2022-02-10,3101,5446
655,2022-01-21,5881,4594
656,2021-05-10,4558,4023
657,2022-09-08,854,2265
658,2021-03-29,9526,6552
659,2022-03-31,1248,1235
660,2022-04-28,8748,7542
661,2022-10-17,819,2674
662,2022-02-27,8871,280
663,2022-09-11,388,6708
664,2022-02-07,6068,4359
665,2022-08-04,5620,7526
666,2021-05-10,4533,8141
667,2021-04-03,3378,557
668,2022-05-27,2260,2757
669,2023-01-11,7634,417
670,2021-05-21,2470,5570
671,2021-05-02,510,1442
672,2021-05-14,8461,1784
673,2021-10-12,8281,3261
674,2021-05-31,9445,4648
675,2021-06-25,1512,8900
676,2022-06-06,53,2272
677,2022-08-10,9636,6539
678,2022-02-09,7312,6000
679,2022-04-25,5421,5908
680,2021-11-07,4041,4838
681,2022-09-06,5188,7219
682,2022-01-12,5994,922
683,2022-05-01,1550,4328
684,2022-04-29,9817,1651
685,2021-03-31,3802,1006
686,2021-05-13,374,741
687,2021-09-08,4822,4134
688,2023-03-06,5626,8023
689,2023-03-09,3385,3764
690,2021-07-06,8151,1289
691,2022-06-25,2621,6356
692,2022-01-25,3410,2101
693,2021-07-16,9004,2994
694,2022-05-11,8599,7967
695,2021-03-28,9805,5116
696,2021-06-23,8339,3489
697,2021-03-24,913,1575
698,2022-03-07,3211,433
699,2022-05-25,2930,649
700,2022-05-18,8177,5732
701,2021-06-11,8146,1073
702,2022-03-13,5723,8109
703,2022-02-25,3036,3826
704,2021-04-12,8915,8487
705,2022-10-02,7325,5069
706,2021-04-28,7499,4758
707,2022-09-01,5853,3979
708,2022-07-22,3453,5388
709,2023-01-26,9067,3307
710,2021-08-22,8487,3949
711,2022-08-02,785,6701
712,2021-12-02,4738,2343
713,2021-07-26,6972,7508
714,2022-01-19,2076,2001
715,2022-01-07,9210,6584
716,2022-11-29,9669,6708
717,2022-05-10,3904,3380
718,2022-01-12,8233,1917
719,2022-11-26,5915,2706
720,2022-01-21,2360,3436
721,2021-11-17,226,4595
722,2022-07-07,2525,8443
723,2022-06-02,2574,1935
724,2022-01-26,5475,4859
725,2022-06-18,7297,7275
726,2021-09-22,3143,2268
727,2022-12-20,9546,8161
728,2021-10-16,9415,967
729,2022-04-01,8740,2170
730,2021-04-24,2333,7384
731,2021-03-27,1529,2325
732,2021-06-09,8900,3090
733,2021-10-31,7735,1579
734,2022-05-04,965,3857
735,2021-11-15,7412,4423
736,2022-04-11,3495,2806
737,2022-07-09,6876,6107
738,2021-12-29,6088,6655
739,2023-03-18,2452,2012
740,2021-11-12,4694,2542
741,2021-04-20,7231,8961
742,2023-01-23,6463,1596
743,2021-07-19,194,6768
744,2022-04-21,8672,2015
745,2023-02-27,1392,6433
746,2022-02-04,2112,8769
747,2021-08-06,1251,6200
748,2022-10-30,2963,5315
749,2022-03-05,9702,7240
750,2022-04-07,3091,6158
751,2022-08-02,4094,8091
752,2022-12-14,4563,4909
753,2022-06-17,2582,7046
754,2021-04-12,8923,7534
755,2022-12-16,4352,5058
756,2023-01-03,868,2724
757,2022-05-30,5557,4795
758,2022-12-24,2788,5309
759,2021-07-07,8862,388
760,2021-11-06,7086,5989
761,2022-01-13,4010,5209
762,2022-08-05,4119,8150
763,2021-09-15,5359,310
764,2022-03-06,8044,4007
765,2021-12-16,313,8990
766,2022-01-05,7165,5186
767,2022-03-29,5900,7958
768,2021-05-18,2928,1463
769,2021-11-07,6652,2411
770,2021-05-23,797,1116
771,2021-12-19,2886,7522
772,2022-02-08,4805,3449
773,2023-02-06,8004,8783
774,2021-05-25,2400,3166
775,2021-09-18,5046,4264
776,2022-03-02,6090,6343
777,2022-09-25,4020,7138
778,2022-03-04,2583,5177
779,2022-04-17,3171,3152
780,2022-12-30,5802,331
781,2022-11-14,8146,8239
782,2021-09-23,2244,6231
783,2021-12-25,7917,1377
784,2022-02-13,696,6155
785,2022-05-14,7609,3891
786,2021-11-13,4179,3355
787,2021-06-18,3632,8314
788,2022-03-23,4506,4190
789,2021-07-19,5085,6544
790,2021-11-27,7917,8997
791,2022-05-14,3375,2419
792,2022-07-03,1681,5085
793,2022-11-18,639,4792
794,2022-10-20,7733,7986
795,2021-09-08,6727,1582
796,2022-02-01,829,4632
797,2022-10-04,2979,1829
798,2021-08-07,5573,3893
799,2021-10-20,5122,7851
800,2022-07-09,6891,6178
801,2021-10-18,6110,8255
802,2021-11-14,3657,8081
803,2021-05-13,5069,2286
804,2022-06-23,2789,3419
805,2021-12-13,7706,8548
806,2021-12-04,7684,1831
807,2022-05-10,8457,6517
808,2021-07-16,7595,5561
809,2021-07-07,9026,4895
810,2022-05-19,926,4803
811,2022-07-08,4934,4646
812,2022-04-22,8825,2528
813,2022-01-22,3442,2301
814,2022-10-30,3549,796
815,2021-06-01,9503,8427
816,2022-10-27,2337,6842
817,2023-03-05,3951,2812
818,2021-04-01,4243,6218
819,2021-06-18,1822,4500
820,2022-11-25,9051,4089
821,2021-04-23,3890,3338
822,2022-04-17,8778,2561
823,2022-09-01,510,548
824,2022-10-31,182,5704
825,2022-11-24,5938,3789
826,2023-02-03,113,5529
827,2022-04-27,9590,2941
828,2022-04-15,9470,2806
829,2021-05-06,7180,8533
830,2021-06-29,1335,6017
831,2021-05-19,2937,3476
832,2022-02-04,3437,402
833,2022-11-14,847,5251
834,2023-01-10,3467,1366
835,2022-08-11,9296,5585
836,2021-08-12,1137,2758
837,2022-11-04,9113,469
838,2021-11-30,2930,5688
839,2022-03-04,1041,1902
840,2023-01-28,9512,8621
841,2021-12-19,3159,7188
842,2022-12-26,1765,4888
843,2021-10-01,1977,4464
844,2021-11-08,4215,1763
845,2022-06-12,8818,5873
846,2021-11-16,1446,3225
847,2022-12-09,5738,8901
848,2023-02-25,8331,5001
849,2021-07-29,5966,1296
850,2021-11-04,1262,7396
851,2022-09-21,2735,2663
852,2021-10-26,9635,8818
853,2023-01-22,4575,5166
854,2022-06-21,5033,3577
855,2023-02-13,1373,1057
856,2021-11-16,2912,7507
857,2022-06-12,5602,5958
858,2022-07-07,5847,4266
859,2021-06-27,7726,5768
860,2022-11-14,9802,530
861,2021-05-07,5419,292
862,2021-06-26,3061,1019
863,2022-05-13,7386,5007
864,2021-09-10,1473,8240
865,2022-01-29,4196,1962
866,2021-04-27,8660,6383
867,2022-12-15,1755,1711
868,2023-01-22,3841,5449
869,2021-08-02,1902,7612
870,2022-09-14,6004,243
871,2022-04-07,8033,1103
872,2022-02-27,9603,3657
873,2021-08-08,5624,1329
874,2022-09-09,2406,3471
875,2021-04-25,2149,2252
876,2023-02-02,8949,7336
877,2022-10-20,7886,67
878,2022-11-05,2290,5563
879,2021-05-18,1562,5785
880,2022-07-18,5014,8920
881,2021-06-09,9255,3914
882,2023-02-09,9094,5604
883,2021-09-02,1922,1166
884,2021-04-15,8555,5248
885,2022-04-01,5244,756
886,2022-01-02,2055,5706
887,2021-06-29,1502,7145
888,2021-10-28,5025,1569
889,2022-05-18,6204,8969
890,2022-11-30,8709,738
891,2023-03-16,7101,2789
892,2022-05-22,5840,2025
893,2021-04-17,4220,7854
894,2022-12-26,9045,8472
895,2021-08-09,1089,8331
896,2021-04-07,8638,5602
897,2021-11-01,707,1923
898,2023-01-02,3277,615
899,2022-06-22,8137,7265
900,2021-09-19,746,8517
901,2022-07-28,86,312
902,2021-05-27,4900,3002
903,2021-06-21,3108,7532
904,2022-10-25,6737,7804
905,2021-08-25,2883,1136
906,2022-04-16,9211,143
907,2022-08-25,3583,4735
908,2022-05-27,3522,1000
909,2021-05-30,4482,1626
910,2022-03-03,2259,1332
911,2022-03-06,2429,1780
912,2023-03-16,9009,1864
913,2023-02-01,4531,6344
914,2021-12-14,5180,5091
915,2021-12-12,6301,1399
916,2022-06-25,5693,2475
917,2023-02-21,6267,1515
918,2022-12-21,7066,6600
919,2021-08-06,6252,6992
920,2021-07-04,1896,7879
921,2021-08-02,6707,5083
922,2022-04-06,4977,990
923,2022-10-05,641,2837
924,2022-11-16,4375,5581
925,2022-11-24,3994,350
926,2021-07-28,3434,5846
927,2021-07-12,8771,7631
928,2022-08-29,9405,1335
929,2022-06-24,2924,5230
930,2023-03-09,4457,7543
931,2021-04-12,1941,1492
932,2022-05-19,70,4490
933,2021-07-29,210,4816
934,2021-06-11,675,8593
935,2022-02-21,942,7675
936,2021-08-21,3989,5330
937,2021-04-27,1170,3729
938,2023-01-01,2075,5683
939,2021-11-02,7107,280
940,2022-01-07,8980,5865
941,2021-10-07,4671,4383
942,2022-11-27,4091,6814
943,2022-12-21,5882,5569
