policy_id,policy_type,policy_start_date,policy_end_date,premium_amount,customer_id
56,HEALTH_INSURANCE,2022-07-03,2027-09-09,1255,4053
57,LIFE_INSURANCE,2024-03-15,2026-02-23,4411,1467
58,AUTO_INSURANCE,2022-06-09,2026-10-17,2929,1999
59,AUTO_INSURANCE,2023-02-24,2027-09-17,730,9998
60,HEALTH_INSURANCE,2022-07-10,2028-02-04,1038,6436
61,AUTO_INSURANCE,2023-11-02,2026-06-18,3759,2377
62,AUTO_INSURANCE,2022-08-03,2024-09-12,4888,5625
63,HEALTH_INSURANCE,2023-03-17,2027-08-15,2773,9202
64,LIFE_INSURANCE,2023-07-28,2024-08-06,1827,7102
65,AUTO_INSURANCE,2023-09-03,2028-02-10,4555,1804
66,AUTO_INSURANCE,2022-04-05,2025-06-12,3539,2781
67,HEALTH_INSURANCE,2023-03-02,2026-09-12,2332,7915
68,HEALTH_INSURANCE,2023-10-27,2027-09-26,1824,279
69,AUTO_INSURANCE,2023-02-09,2024-11-10,4861,2325
70,LIFE_INSURANCE,2022-07-16,2024-06-01,1158,2686
71,LIFE_INSURANCE,2024-01-09,2027-10-29,3246,7386
72,AUTO_INSURANCE,2022-06-26,2024-04-27,2509,2553
73,LIFE_INSURANCE,2023-06-13,2027-02-14,2437,2929
74,AUTO_INSURANCE,2023-05-25,2026-09-13,4325,6435
75,AUTO_INSURANCE,2023-08-10,2026-10-24,3465,6734
76,HEALTH_INSURANCE,2022-12-02,2027-03-16,2062,2141
77,LIFE_INSURANCE,2023-09-03,2028-03-15,3652,4184
78,HEALTH_INSURANCE,2022-08-29,2027-08-03,4234,4629
79,LIFE_INSURANCE,2023-07-20,2028-02-29,1194,4444
80,AUTO_INSURANCE,2022-04-02,2027-05-16,2342,4045
81,HEALTH_INSURANCE,2024-03-01,2026-05-01,4112,4986
82,LIFE_INSURANCE,2024-03-16,2024-08-21,1349,567
83,HEALTH_INSURANCE,2022-04-18,2024-09-02,4444,5857
84,AUTO_INSURANCE,2023-09-28,2025-07-02,2517,3539
85,HEALTH_INSURANCE,2023-09-26,2025-03-15,4429,255
86,HEALTH_INSURANCE,2023-02-10,2027-06-14,2369,8593
87,LIFE_INSURANCE,2024-03-10,2025-10-01,2844,7953
88,HEALTH_INSURANCE,2023-07-11,2027-06-03,644,8463
89,LIFE_INSURANCE,2023-07-06,2025-02-27,3421,6875
90,LIFE_INSURANCE,2023-02-12,2026-08-04,4392,5417
91,HEALTH_INSURANCE,2024-03-01,2026-10-05,2346,7500
92,HEALTH_INSURANCE,2022-05-31,2027-07-04,4050,6898
93,HEALTH_INSURANCE,2022-06-08,2024-12-03,3175,5057
94,AUTO_INSURANCE,2024-01-11,2027-12-11,2654,6899
95,LIFE_INSURANCE,2024-01-27,2027-09-18,2829,5879
96,HEALTH_INSURANCE,2022-08-25,2026-08-29,2772,3242
97,LIFE_INSURANCE,2022-04-19,2027-09-27,3203,5898
98,HEALTH_INSURANCE,2023-07-26,2024-11-27,4700,1950
99,LIFE_INSURANCE,2022-11-12,2027-11-30,1795,416
100,HEALTH_INSURANCE,2023-06-27,2026-08-12,1158,176
101,HEALTH_INSURANCE,2023-08-17,2024-05-01,1075,6917
102,LIFE_INSURANCE,2023-10-11,2026-01-10,1010,6138
103,AUTO_INSURANCE,2024-01-25,2024-05-19,4081,6214
104,HEALTH_INSURANCE,2023-12-12,2027-02-04,2847,8423
105,AUTO_INSURANCE,2022-07-24,2027-11-16,821,1644
106,LIFE_INSURANCE,2023-04-06,2028-02-21,2193,9262
107,HEALTH_INSURANCE,2022-09-22,2025-12-02,2307,4240
108,AUTO_INSURANCE,2023-10-27,2026-08-12,983,1087
109,HEALTH_INSURANCE,2022-08-03,2025-11-13,804,1502
110,LIFE_INSURANCE,2022-03-24,2027-05-26,1246,9190
111,AUTO_INSURANCE,2023-11-16,2027-03-16,2316,2987
112,HEALTH_INSURANCE,2023-08-09,2025-08-06,865,3567
113,AUTO_INSURANCE,2023-10-28,2025-05-24,3363,4417
114,AUTO_INSURANCE,2022-09-07,2027-02-12,2696,4560
115,HEALTH_INSURANCE,2022-11-02,2027-03-14,3025,7269
116,HEALTH_INSURANCE,2023-03-11,2026-02-12,4768,671
117,AUTO_INSURANCE,2022-10-20,2026-06-05,2799,3137
118,HEALTH_INSURANCE,2023-10-23,2026-01-08,2205,199
119,AUTO_INSURANCE,2022-12-12,2024-12-14,2710,5572
120,LIFE_INSURANCE,2022-06-06,2027-08-24,1655,94
121,HEALTH_INSURANCE,2023-11-18,2025-01-21,2590,9935
122,HEALTH_INSURANCE,2023-03-09,2028-01-02,3722,7015
123,HEALTH_INSURANCE,2024-01-21,2024-09-02,2449,1025
124,AUTO_INSURANCE,2024-02-06,2027-06-22,1891,7772
125,AUTO_INSURANCE,2022-12-29,2026-08-20,688,1291
126,HEALTH_INSURANCE,2023-12-21,2024-05-19,2826,1628
127,LIFE_INSURANCE,2024-02-05,2027-06-22,1678,4904
128,LIFE_INSURANCE,2022-07-30,2024-03-24,1286,3607
129,LIFE_INSURANCE,2023-06-28,2026-05-13,4057,4722
130,HEALTH_INSURANCE,2022-04-16,2026-02-02,4446,9287
131,AUTO_INSURANCE,2023-08-29,2027-07-29,1057,1802
132,HEALTH_INSURANCE,2023-03-24,2024-05-18,1387,903
133,HEALTH_INSURANCE,2022-10-27,2025-06-04,1833,2181
134,LIFE_INSURANCE,2024-01-18,2026-07-31,3156,2987
135,LIFE_INSURANCE,2022-07-11,2024-09-21,2226,558
136,HEALTH_INSURANCE,2023-01-13,2027-11-30,3870,4194
137,AUTO_INSURANCE,2023-04-24,2026-11-08,4219,5781
138,HEALTH_INSURANCE,2022-04-08,2028-03-14,3588,5771
139,HEALTH_INSURANCE,2022-12-30,2024-05-30,3496,6618
140,AUTO_INSURANCE,2022-12-08,2024-05-02,3503,621
141,HEALTH_INSURANCE,2022-12-20,2027-06-02,2769,6846
142,AUTO_INSURANCE,2023-01-12,2027-12-28,2356,2081
143,LIFE_INSURANCE,2023-06-26,2024-06-08,3653,6636
144,LIFE_INSURANCE,2022-05-17,2025-10-23,4125,5777
145,LIFE_INSURANCE,2024-01-19,2024-08-16,2830,2442
146,LIFE_INSURANCE,2023-10-31,2025-08-06,4484,5548
147,LIFE_INSURANCE,2022-06-23,2027-05-10,1603,9436
148,AUTO_INSURANCE,2022-10-01,2027-12-13,2403,6530
149,HEALTH_INSURANCE,2022-04-05,2025-10-17,695,2315
150,AUTO_INSURANCE,2023-04-01,2025-02-28,4447,6334
151,AUTO_INSURANCE,2022-07-31,2024-09-17,2370,8813
152,LIFE_INSURANCE,2023-07-17,2024-09-16,4826,1652
153,AUTO_INSURANCE,2022-10-03,2025-08-19,4687,3575
154,LIFE_INSURANCE,2024-01-03,2025-09-26,1371,505
155,LIFE_INSURANCE,2024-02-13,2025-09-14,2177,8688
156,AUTO_INSURANCE,2023-02-09,2027-08-30,1265,8175
157,HEALTH_INSURANCE,2023-06-05,2027-02-19,644,3884
158,HEALTH_INSURANCE,2024-01-10,2026-09-21,4696,2230
159,AUTO_INSURANCE,2023-05-17,2026-12-16,1276,9288
160,LIFE_INSURANCE,2023-05-24,2027-04-13,820,4356
161,HEALTH_INSURANCE,2023-02-04,2026-01-10,1862,7267
162,AUTO_INSURANCE,2022-07-21,2028-02-16,2021,9999
163,AUTO_INSURANCE,2023-08-28,2028-03-03,2319,3115
164,HEALTH_INSURANCE,2023-10-05,2026-07-19,4098,1085
165,AUTO_INSURANCE,2022-04-19,2024-07-29,928,1218
166,LIFE_INSURANCE,2023-03-02,2025-05-14,750,6217
167,LIFE_INSURANCE,2022-04-17,2026-07-18,4850,7632
168,AUTO_INSURANCE,2022-05-11,2026-01-24,1412,3784
169,LIFE_INSURANCE,2023-12-06,2025-08-02,4158,3939
170,LIFE_INSURANCE,2023-08-23,2026-10-10,1349,4002
171,AUTO_INSURANCE,2023-05-15,2024-06-22,1594,4980
172,LIFE_INSURANCE,2024-03-18,2024-08-01,1688,7278
173,HEALTH_INSURANCE,2023-03-22,2028-01-08,1682,2888
174,HEALTH_INSURANCE,2023-08-26,2024-04-28,2259,3509
175,AUTO_INSURANCE,2023-10-22,2026-09-24,2033,5091
176,LIFE_INSURANCE,2022-10-28,2027-02-14,2906,8896
177,AUTO_INSURANCE,2022-08-25,2026-03-31,1608,8149
178,LIFE_INSURANCE,2023-11-03,2026-08-24,2043,4719
179,HEALTH_INSURANCE,2024-03-16,2027-01-04,1598,7697
180,LIFE_INSURANCE,2024-02-19,2024-12-23,2217,5923
181,AUTO_INSURANCE,2023-04-15,2027-03-06,2682,3866
182,AUTO_INSURANCE,2023-10-14,2027-09-25,2553,5616
183,AUTO_INSURANCE,2023-03-22,2026-12-04,2134,7419
184,LIFE_INSURANCE,2022-05-26,2026-01-05,2297,1125
185,HEALTH_INSURANCE,2023-04-25,2027-12-19,4809,2681
186,AUTO_INSURANCE,2023-05-23,2026-08-28,4340,898
187,HEALTH_INSURANCE,2023-01-04,2027-10-27,1579,1042
188,AUTO_INSURANCE,2023-11-19,2026-05-13,4508,3361
189,LIFE_INSURANCE,2022-12-15,2025-06-21,4081,3040
190,AUTO_INSURANCE,2024-02-13,2025-08-29,1940,7775
191,LIFE_INSURANCE,2022-12-24,2025-11-01,1752,5251
192,AUTO_INSURANCE,2022-10-27,2027-04-06,2844,9105
193,AUTO_INSURANCE,2022-09-25,2025-10-01,547,9089
194,AUTO_INSURANCE,2023-12-29,2026-03-28,4662,3591
195,AUTO_INSURANCE,2023-01-02,2027-06-03,2788,1439
196,AUTO_INSURANCE,2022-06-25,2026-03-31,4615,7657
197,LIFE_INSURANCE,2022-07-16,2026-05-10,1714,5872
198,HEALTH_INSURANCE,2023-10-11,2024-09-14,2966,357
199,AUTO_INSURANCE,2022-05-31,2024-08-24,2790,7886
200,LIFE_INSURANCE,2024-01-15,2024-05-28,3489,656
201,AUTO_INSURANCE,2022-12-21,2026-03-27,1721,6378
202,LIFE_INSURANCE,2024-01-29,2024-10-23,3439,9470
203,HEALTH_INSURANCE,2022-05-16,2027-10-16,4219,5913
204,AUTO_INSURANCE,2022-06-28,2026-12-16,745,4245
205,AUTO_INSURANCE,2023-10-09,2027-01-12,2967,3491
206,LIFE_INSURANCE,2023-08-21,2025-07-23,2785,1476
207,HEALTH_INSURANCE,2022-07-04,2026-07-25,2573,9289
208,HEALTH_INSURANCE,2023-01-30,2025-12-09,799,9164
209,HEALTH_INSURANCE,2022-07-01,2028-01-19,1150,1914
210,HEALTH_INSURANCE,2022-05-13,2025-03-14,3704,6635
211,AUTO_INSURANCE,2023-08-05,2025-03-24,550,2325
212,LIFE_INSURANCE,2023-09-11,2028-01-17,3200,7275
213,AUTO_INSURANCE,2023-06-30,2027-01-09,4958,3002
214,AUTO_INSURANCE,2022-11-30,2027-03-16,4652,1947
215,LIFE_INSURANCE,2023-06-04,2027-05-02,3159,9753
216,AUTO_INSURANCE,2022-08-31,2025-05-22,1955,7502
217,AUTO_INSURANCE,2023-11-30,2026-06-02,2048,7436
218,HEALTH_INSURANCE,2023-05-11,2027-10-08,4293,5912
219,LIFE_INSURANCE,2022-09-22,2028-03-03,2092,766
220,HEALTH_INSURANCE,2023-12-09,2027-07-10,1312,1400
221,AUTO_INSURANCE,2023-07-27,2025-06-13,741,4112
222,HEALTH_INSURANCE,2022-04-04,2027-07-08,1062,6872
223,LIFE_INSURANCE,2023-11-01,2025-01-31,1646,4994
224,AUTO_INSURANCE,2023-09-24,2026-03-07,4094,5827
225,HEALTH_INSURANCE,2022-08-07,2027-04-05,558,5405
226,HEALTH_INSURANCE,2022-10-28,2027-12-22,814,2962
227,LIFE_INSURANCE,2023-08-17,2028-03-08,3351,7028
228,AUTO_INSURANCE,2023-09-26,2026-06-11,2799,1389
229,HEALTH_INSURANCE,2022-09-03,2027-07-08,4950,7644
230,AUTO_INSURANCE,2022-04-16,2024-10-02,637,8739
231,AUTO_INSURANCE,2022-06-21,2027-09-01,4364,1449
232,LIFE_INSURANCE,2022-08-31,2027-10-12,3421,8333
233,HEALTH_INSURANCE,2022-11-17,2025-03-16,3627,5317
234,HEALTH_INSURANCE,2022-09-19,2025-08-24,2255,4761
235,LIFE_INSURANCE,2022-11-04,2026-03-05,3293,1286
236,LIFE_INSURANCE,2022-11-19,2028-03-05,2387,8232
237,HEALTH_INSURANCE,2023-02-17,2026-11-09,2812,1069
238,HEALTH_INSURANCE,2023-05-31,2025-07-05,1418,2429
239,HEALTH_INSURANCE,2022-06-02,2028-02-14,2432,4335
240,HEALTH_INSURANCE,2022-11-28,2027-03-10,4035,719
241,HEALTH_INSURANCE,2022-05-14,2024-04-07,2954,1171
242,HEALTH_INSURANCE,2023-04-15,2024-12-29,2713,2203
243,LIFE_INSURANCE,2023-11-21,2028-02-09,1818,8344
244,HEALTH_INSURANCE,2024-01-23,2025-09-09,3609,3456
245,LIFE_INSURANCE,2022-08-13,2025-01-31,2386,8822
246,LIFE_INSURANCE,2022-07-09,2024-10-25,1704,1541
247,AUTO_INSURANCE,2022-04-09,2027-03-15,2871,5869
248,HEALTH_INSURANCE,2022-11-07,2025-10-29,3556,5675
249,LIFE_INSURANCE,2024-02-14,2026-06-01,3635,2210
250,HEALTH_INSURANCE,2022-09-25,2027-01-28,1386,10
251,LIFE_INSURANCE,2023-06-16,2026-01-16,4786,6092
252,AUTO_INSURANCE,2023-01-14,2025-12-14,1064,1740
253,HEALTH_INSURANCE,2023-07-15,2026-09-22,1842,7262
254,LIFE_INSURANCE,2023-11-25,2026-12-27,4801,85
255,HEALTH_INSURANCE,2024-02-22,2026-01-06,2522,7243
256,AUTO_INSURANCE,2023-12-26,2027-08-04,527,6787
257,AUTO_INSURANCE,2022-04-21,2027-07-16,1560,2997
258,LIFE_INSURANCE,2023-08-04,2024-03-20,2549,4837
259,LIFE_INSURANCE,2022-09-01,2026-06-14,2477,730
260,LIFE_INSURANCE,2023-05-13,2024-10-25,4522,9142
261,LIFE_INSURANCE,2023-11-30,2024-05-03,3211,4111
262,AUTO_INSURANCE,2023-06-11,2027-12-30,4549,6750
263,HEALTH_INSURANCE,2023-07-30,2026-09-01,3469,586
264,AUTO_INSURANCE,2023-04-11,2025-07-13,4349,9716
265,AUTO_INSURANCE,2023-08-31,2026-03-08,1160,4329
266,HEALTH_INSURANCE,2022-06-18,2025-09-05,4816,9240
267,HEALTH_INSURANCE,2023-10-24,2027-07-25,4990,5039
268,LIFE_INSURANCE,2024-03-12,2024-05-12,4178,396
269,AUTO_INSURANCE,2023-10-21,2025-02-22,3073,327
270,HEALTH_INSURANCE,2024-01-30,2026-02-26,3480,6438
271,AUTO_INSURANCE,2023-08-20,2025-12-28,3330,1978
272,LIFE_INSURANCE,2022-06-08,2025-05-18,2206,8514
273,HEALTH_INSURANCE,2022-07-15,2027-08-22,2622,3820
274,AUTO_INSURANCE,2022-04-01,2027-11-01,3026,4926
275,HEALTH_INSURANCE,2022-11-10,2027-12-20,2551,106
276,AUTO_INSURANCE,2023-05-24,2027-01-20,3365,5532
277,LIFE_INSURANCE,2022-10-21,2024-10-23,3620,3278
278,LIFE_INSURANCE,2023-01-06,2024-11-08,2761,7918
279,AUTO_INSURANCE,2024-02-14,2027-11-04,4305,7236
280,AUTO_INSURANCE,2023-08-24,2028-01-28,2471,7896
281,AUTO_INSURANCE,2022-05-13,2026-04-21,2039,9645
282,AUTO_INSURANCE,2022-05-21,2025-07-08,4375,248
283,AUTO_INSURANCE,2023-10-21,2024-04-13,1666,9246
284,LIFE_INSURANCE,2023-09-22,2025-05-19,2718,4462
285,HEALTH_INSURANCE,2023-08-14,2025-04-11,4636,3817
286,LIFE_INSURANCE,2023-03-29,2026-09-04,2146,8619
287,LIFE_INSURANCE,2023-04-29,2027-08-28,4773,6259
288,HEALTH_INSURANCE,2022-11-30,2026-05-09,4100,9888
289,LIFE_INSURANCE,2024-01-18,2025-09-24,3903,4094
290,LIFE_INSURANCE,2023-08-23,2027-11-02,2410,9713
291,HEALTH_INSURANCE,2023-12-05,2025-04-21,1418,1497
292,LIFE_INSURANCE,2023-04-03,2026-01-19,1083,8136
293,LIFE_INSURANCE,2023-10-27,2026-03-21,1592,8739
294,AUTO_INSURANCE,2023-12-11,2028-03-10,2890,4078
295,AUTO_INSURANCE,2022-11-22,2024-07-30,511,7574
296,LIFE_INSURANCE,2024-02-26,2027-11-29,2275,5391
297,AUTO_INSURANCE,2022-08-09,2025-02-14,4831,160
298,LIFE_INSURANCE,2023-03-22,2025-09-03,2340,3003
299,AUTO_INSURANCE,2023-10-02,2024-06-25,2519,4365
300,LIFE_INSURANCE,2022-04-30,2027-06-13,2954,8129
301,LIFE_INSURANCE,2024-01-14,2026-01-25,2853,6976
302,AUTO_INSURANCE,2023-12-13,2027-10-13,1466,1899
303,LIFE_INSURANCE,2023-03-03,2027-09-22,737,3680
304,HEALTH_INSURANCE,2023-09-26,2026-12-20,4723,6276
305,LIFE_INSURANCE,2023-12-05,2025-06-16,4426,6985
306,HEALTH_INSURANCE,2022-07-09,2025-07-07,1578,7029
307,HEALTH_INSURANCE,2023-03-31,2024-12-16,4022,865
308,AUTO_INSURANCE,2023-05-08,2026-10-11,932,6912
309,HEALTH_INSURANCE,2023-01-12,2028-01-28,2261,1778
310,HEALTH_INSURANCE,2022-07-26,2025-11-16,3674,1906
311,AUTO_INSURANCE,2022-05-09,2028-01-21,3774,6515
312,LIFE_INSURANCE,2024-01-06,2026-03-13,4402,3272
313,HEALTH_INSURANCE,2022-09-22,2027-11-24,4476,7255
314,HEALTH_INSURANCE,2024-01-09,2028-01-13,3578,9733
315,AUTO_INSURANCE,2022-09-25,2026-06-11,3643,4109
316,HEALTH_INSURANCE,2023-12-01,2024-06-10,1953,7864
317,HEALTH_INSURANCE,2023-04-07,2024-06-08,2369,4306
318,HEALTH_INSURANCE,2022-04-19,2025-05-16,4266,2343
319,LIFE_INSURANCE,2023-05-21,2025-12-11,519,1756
320,LIFE_INSURANCE,2022-08-22,2026-03-16,3439,4886
321,AUTO_INSURANCE,2023-03-07,2025-01-24,4718,1916
322,HEALTH_INSURANCE,2023-12-24,2026-07-01,2222,4913
323,LIFE_INSURANCE,2023-02-20,2026-09-13,4510,6821
324,LIFE_INSURANCE,2024-01-08,2025-04-13,4935,8922
325,HEALTH_INSURANCE,2023-11-26,2027-12-28,2864,8351
326,HEALTH_INSURANCE,2023-12-01,2025-06-10,2722,5682
327,AUTO_INSURANCE,2023-06-29,2024-06-06,3844,1381
328,AUTO_INSURANCE,2024-03-15,2026-08-03,1787,4833
329,AUTO_INSURANCE,2022-04-25,2026-06-15,4114,2544
330,HEALTH_INSURANCE,2023-06-17,2025-04-01,4251,7161
331,AUTO_INSURANCE,2023-01-17,2024-09-09,4253,2811
332,LIFE_INSURANCE,2022-03-22,2025-07-09,1080,9949
333,HEALTH_INSURANCE,2022-06-06,2027-04-23,3280,3096
334,AUTO_INSURANCE,2024-01-01,2026-03-29,4590,3810
335,LIFE_INSURANCE,2022-12-25,2024-12-11,1655,986
336,LIFE_INSURANCE,2022-10-23,2027-09-22,1450,9454
337,AUTO_INSURANCE,2023-05-08,2024-12-08,3793,7804
338,HEALTH_INSURANCE,2022-07-29,2026-01-05,757,8628
339,HEALTH_INSURANCE,2023-11-05,2025-04-09,3613,5978
340,HEALTH_INSURANCE,2022-05-11,2026-07-22,4731,2715
341,AUTO_INSURANCE,2023-06-05,2028-01-02,956,141
342,AUTO_INSURANCE,2022-08-09,2024-12-31,4286,1549
343,AUTO_INSURANCE,2023-05-10,2027-08-05,4548,9735
344,AUTO_INSURANCE,2024-01-12,2026-05-11,1093,4785
345,HEALTH_INSURANCE,2024-02-25,2024-11-15,4606,5116
346,AUTO_INSURANCE,2023-04-20,2024-12-03,2958,5060
347,AUTO_INSURANCE,2023-11-20,2027-11-12,3105,9630
348,AUTO_INSURANCE,2024-01-30,2026-07-10,623,8221
349,AUTO_INSURANCE,2022-03-20,2027-03-19,3611,4397
350,LIFE_INSURANCE,2022-05-27,2026-01-11,3131,4272
351,AUTO_INSURANCE,2022-12-01,2026-12-29,2028,3134
352,AUTO_INSURANCE,2023-11-20,2026-02-26,3876,9364
353,HEALTH_INSURANCE,2022-04-12,2027-07-02,2588,2112
354,LIFE_INSURANCE,2022-09-06,2025-09-26,669,514
355,HEALTH_INSURANCE,2023-09-27,2026-11-07,3650,3960
356,HEALTH_INSURANCE,2024-02-02,2025-10-21,1996,2502
357,LIFE_INSURANCE,2023-06-13,2024-09-18,1629,8380
358,AUTO_INSURANCE,2022-04-01,2025-11-05,3238,9026
359,HEALTH_INSURANCE,2022-12-23,2025-12-14,2322,5535
360,AUTO_INSURANCE,2024-02-07,2024-04-08,3011,9378
361,AUTO_INSURANCE,2022-08-11,2024-07-25,3638,9900
362,HEALTH_INSURANCE,2022-04-27,2027-04-06,3490,121
363,LIFE_INSURANCE,2022-11-14,2027-07-30,4607,3525
364,AUTO_INSURANCE,2023-04-09,2024-07-25,2970,4520
365,LIFE_INSURANCE,2023-07-22,2026-11-29,1121,563
366,LIFE_INSURANCE,2022-11-25,2027-01-16,2384,6510
367,LIFE_INSURANCE,2023-07-11,2024-10-16,4274,9619
368,LIFE_INSURANCE,2022-08-04,2027-08-13,2757,66
369,HEALTH_INSURANCE,2022-09-18,2025-06-12,3957,2729
370,AUTO_INSURANCE,2023-07-22,2024-08-24,1695,3769
371,AUTO_INSURANCE,2022-04-04,2025-01-27,1179,337
372,AUTO_INSURANCE,2023-03-05,2026-10-31,4586,4137
373,AUTO_INSURANCE,2023-01-04,2025-11-01,653,3921
374,LIFE_INSURANCE,2023-05-26,2027-04-17,3587,3115
375,AUTO_INSURANCE,2024-01-20,2027-10-19,4442,1680
376,HEALTH_INSURANCE,2022-03-25,2025-08-24,4496,9935
377,AUTO_INSURANCE,2023-04-07,2027-07-10,4519,1109
378,AUTO_INSURANCE,2022-05-11,2027-12-19,3753,5151
379,AUTO_INSURANCE,2024-01-10,2025-12-09,3201,9224
380,HEALTH_INSURANCE,2022-10-30,2027-11-25,2186,2596
381,LIFE_INSURANCE,2022-09-19,2025-08-17,4781,3287
382,LIFE_INSURANCE,2024-02-12,2025-07-07,3577,6970
383,AUTO_INSURANCE,2023-03-31,2025-06-17,4920,4418
384,AUTO_INSURANCE,2022-08-13,2025-04-16,4798,704
385,HEALTH_INSURANCE,2023-10-11,2025-11-16,2298,5266
386,HEALTH_INSURANCE,2022-10-02,2027-09-23,1133,9848
387,AUTO_INSURANCE,2022-04-18,2028-03-02,4651,6674
388,AUTO_INSURANCE,2023-10-16,2025-08-26,790,6187
389,AUTO_INSURANCE,2023-04-04,2025-02-07,2512,8794
390,AUTO_INSURANCE,2022-12-08,2028-02-24,2951,2597
391,LIFE_INSURANCE,2023-08-17,2025-04-07,3782,5137
392,HEALTH_INSURANCE,2024-02-12,2026-02-07,3733,3315
393,AUTO_INSURANCE,2023-09-09,2025-05-07,3338,1813
394,AUTO_INSURANCE,2022-12-04,2026-01-24,3428,8044
395,LIFE_INSURANCE,2022-10-03,2025-01-24,4621,6583
396,LIFE_INSURANCE,2022-05-26,2025-06-28,652,245
397,LIFE_INSURANCE,2023-06-16,2026-04-06,3504,2599
398,LIFE_INSURANCE,2022-11-14,2025-11-19,2663,6885
399,HEALTH_INSURANCE,2022-06-30,2025-08-06,3511,4901
400,HEALTH_INSURANCE,2023-03-29,2027-08-13,3308,6018
401,HEALTH_INSURANCE,2022-07-11,2027-01-01,2463,4361
402,HEALTH_INSURANCE,2024-01-31,2026-04-14,917,4635
403,HEALTH_INSURANCE,2022-11-16,2027-04-17,1166,7653
404,HEALTH_INSURANCE,2022-12-31,2025-07-02,4482,4066
405,AUTO_INSURANCE,2022-10-01,2027-02-01,3269,6113
406,AUTO_INSURANCE,2023-11-07,2024-04-24,4586,3274
407,AUTO_INSURANCE,2022-04-11,2024-09-28,1326,763
408,HEALTH_INSURANCE,2022-09-05,2027-01-21,4073,8794
